	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
Glycolysis / Gluconeogenesis	0.763573726598929	2.72194052706155	0.724336302959167	NA	0.663576085481186	0.574784767648793	NA	0.826880998447327
Citrate cycle (TCA cycle)	0.814815054262171	2.03425030788202	0.850518658354281	1.25393429937244	0.891554996790041	0.555561649345473	0.811715644742112	0.787649389251459
Pentose phosphate pathway	0.619155694574791	2.27456466091149	0.665458549580324	1.27074073453379	0.763123183471031	0.668823357829237	NA	NA
Pentose and glucuronate interconversions	0.590978910780808	2.30363808172149	NA	1.29958065944426	0.657088418200207	0.6069147526345	0.47079987086056	NA
Fructose and mannose metabolism	0.667529836396751	2.23332130916814	1.48748759629337	NA	0.840440120633851	0.510178985268113	0.568423763981182	0.729876289985282
Galactose metabolism	0.824365486431108	1.57192734737954	0.728362240063633	NA	NA	0.669113179028093	NA	NA
Ascorbate and aldarate metabolism	0.310290720232714	5.77931817538477	0.110951384541229	0.0571407705913828	NA	NA	0.0910938809488659	0.1036667099489
Starch and sucrose metabolism	1.29263466146101	NA	NA	NA	NA	0.783392494919912	NA	NA
Amino sugar and nucleotide sugar metabolism	0.808075401166467	1.47892914202701	1.18040396240984	1.12839686528988	0.897066806093888	0.754475621436406	0.762230746871881	NA
Pyruvate metabolism	0.900652080286538	2.0125640055803	1.1954296413133	NA	0.882937542704864	0.639342847511392	0.655244086015395	0.683245827488655
Glyoxylate and dicarboxylate metabolism	NA	1.73952499718738	1.13829293515165	1.15621459744887	0.847025464652952	0.434907028587335	NA	0.785057799684585
Propanoate metabolism	0.842632289245683	1.8521315956316	NA	1.24896443949972	NA	0.66098262296783	NA	0.72850468169856
Butanoate metabolism	1.12267472092338	1.26880802851836	NA	NA	0.74036319411426	1.06943854948381	0.840554618532975	NA
Inositol phosphate metabolism	NA	0.656075874934602	0.78143820196472	1.27364045755865	1.14806742547347	0.955890595932627	NA	NA
Oxidative phosphorylation	0.782381700693622	2.02614789075668	1.11517348989861	NA	0.796768268803005	0.563774304681099	0.802770397406017	0.90156008364228
Nitrogen metabolism	NA	NA	0.254601321559042	0.199486773458753	NA	NA	NA	0.131439906165747
